,n_features,R_square,RMSE_tr,RMSE_ts
17,180,0.36762014712624047,262.33538703257227,260.4653748729304
16,170,0.36653362746614515,262.4608545952326,260.40561052472765
15,160,0.3617292042543633,263.50388697471124,261.5256255208578
14,150,0.3606274133944748,263.7027713632002,262.2276899071764
13,140,0.36049845241814693,263.63176905945073,262.2372103656076
12,130,0.35922144641544684,264.30589329684864,261.9737658596842
11,120,0.358553840962759,264.465222254429,262.17462933825533
10,110,0.3580361135200695,264.5478097931075,262.48896594455914
9,100,0.3573705224808037,264.73593116899525,262.60835724221414
8,90,0.35608159679747375,265.0212525126908,263.13973834029446
7,80,0.3545119414525739,265.22260156317014,262.77484937665093
6,70,0.35095088118552087,265.6138647445704,264.3531212428188
5,60,0.347742208535487,266.40805853695605,264.6577522814866
4,50,0.34324695680359507,267.55244032047887,264.65787951373017
3,40,0.3313294141570825,270.1082309689682,266.11974371859526
2,30,0.20960745980182294,291.03831347195853,288.34005587815335
1,20,0.027088274286361735,328.9224561522586,326.50616508881166
0,10,0.026519705340678823,328.61106484652504,326.18717241754194
