,feature,importance
0,spousedcat_4,0.7935329842059133
1,spousedcat_1,0.743347027237446
2,cardtenurecat_5,0.504230475551072
3,cardtenurecat_3,0.2725413944756636
4,commute_4,0.27006696133556457
5,carown_1,0.1602171151959009
6,carcatvalue_3,0.08468581498037808
7,carcatvalue_2,0.07308783711885669
8,carown_0,0.0047983295416918195
9,retire_1,2.3150821774187054e-06
10,inccat_2,4.0073462058320434e-10
11,card2_5,7.805224774393072e-13
12,reason_2,4.2338008348769815e-13
13,inccat_3,5.761329614717918e-15
14,inccat_4,5.130610373446061e-19
15,card_5,2.1907467870426894e-21
16,inccat_5,1.7240548659387097e-25
17,card2_3,2.9548780385303505e-40
18,card2_4,8.609815037949172e-41
19,card2_2,1.0758374922369257e-43
20,card_2,1.3623015352976391e-86
21,card_3,2.081485700513991e-92
22,card_4,1.1354522179143537e-113
23,Intercept,0.0
